id,created_by,created_date,last_modified_by,last_modified_date,living_carbon_certificate_order_id,compensation_index_id,value
1,1379,2023-02-02 10:13:49.77017,1379,2023-02-02 10:13:49.77017,1,10,101.00
2,1379,2023-02-02 10:13:49.772785,1379,2023-02-02 10:13:49.772785,1,1,13.00
3,1379,2023-02-02 10:13:49.775523,1379,2023-02-02 10:13:49.775523,1,3,223.00
4,1379,2023-02-02 10:13:49.77739,1379,2023-02-02 10:13:49.77739,1,2,81.00
5,1379,2023-02-02 10:13:49.778668,1379,2023-02-02 10:13:49.778668,1,9,7.00
6,1379,2023-02-02 10:21:37.295814,1379,2023-02-02 10:21:37.295814,2,10,94.00
7,1379,2023-02-02 10:21:37.297203,1379,2023-02-02 10:21:37.297203,2,1,12.00
8,1379,2023-02-02 10:21:37.298307,1379,2023-02-02 10:21:37.298307,2,3,364.00
9,1379,2023-02-02 10:21:37.29945,1379,2023-02-02 10:21:37.29945,2,2,59.00
10,1379,2023-02-02 10:21:37.30059,1379,2023-02-02 10:21:37.30059,2,9,6.00
11,1379,2023-02-02 10:23:27.052881,1379,2023-02-02 10:23:27.052881,3,10,49.00
12,1379,2023-02-02 10:23:27.054259,1379,2023-02-02 10:23:27.054259,3,1,13.00
13,1379,2023-02-02 10:23:27.055795,1379,2023-02-02 10:23:27.055795,3,3,409.00
14,1379,2023-02-02 10:23:27.058344,1379,2023-02-02 10:23:27.058344,3,2,69.00
15,1379,2023-02-02 10:23:27.060014,1379,2023-02-02 10:23:27.060014,3,9,5.00
16,1379,2023-02-02 10:25:18.854919,1379,2023-02-02 10:25:18.854919,4,10,51.00
17,1379,2023-02-02 10:25:18.856395,1379,2023-02-02 10:25:18.856395,4,1,11.00
18,1379,2023-02-02 10:25:18.858184,1379,2023-02-02 10:25:18.858184,4,3,274.00
19,1379,2023-02-02 10:25:18.859657,1379,2023-02-02 10:25:18.859657,4,2,48.00
20,1379,2023-02-02 10:25:18.860807,1379,2023-02-02 10:25:18.860807,4,9,3.00
21,1379,2023-02-02 10:42:52.276881,1379,2023-02-02 10:42:52.276881,5,10,160.00
22,1379,2023-02-02 10:42:52.280029,1379,2023-02-02 10:42:52.280029,5,1,12.00
23,1379,2023-02-02 10:42:52.281942,1379,2023-02-02 10:42:52.281942,5,3,436.00
24,1379,2023-02-02 10:42:52.284814,1379,2023-02-02 10:42:52.284814,5,2,98.00
25,1379,2023-02-02 10:42:52.287015,1379,2023-02-02 10:42:52.287015,5,9,5.00
26,1379,2023-02-02 10:45:02.023753,1379,2023-02-02 10:45:02.023753,6,10,84.00
27,1379,2023-02-02 10:45:02.025042,1379,2023-02-02 10:45:02.025042,6,1,13.00
28,1379,2023-02-02 10:45:02.027251,1379,2023-02-02 10:45:02.027251,6,3,404.00
29,1379,2023-02-02 10:45:02.02977,1379,2023-02-02 10:45:02.02977,6,2,79.00
30,1379,2023-02-02 10:45:02.032418,1379,2023-02-02 10:45:02.032418,6,9,6.00
31,1379,2023-02-02 10:46:55.323675,1379,2023-02-02 10:46:55.323675,7,10,171.00
32,1379,2023-02-02 10:46:55.324913,1379,2023-02-02 10:46:55.324913,7,1,10.00
33,1379,2023-02-02 10:46:55.32585,1379,2023-02-02 10:46:55.32585,7,3,328.00
34,1379,2023-02-02 10:46:55.327032,1379,2023-02-02 10:46:55.327032,7,2,82.00
35,1379,2023-02-02 10:46:55.328396,1379,2023-02-02 10:46:55.328396,7,9,5.00
36,1379,2023-02-02 10:48:30.658015,1379,2023-02-02 10:48:30.658015,8,10,43.00
37,1379,2023-02-02 10:48:30.659332,1379,2023-02-02 10:48:30.659332,8,1,10.00
38,1379,2023-02-02 10:48:30.660524,1379,2023-02-02 10:48:30.660524,8,3,472.00
39,1379,2023-02-02 10:48:30.662485,1379,2023-02-02 10:48:30.662485,8,2,60.00
40,1379,2023-02-02 10:48:30.663534,1379,2023-02-02 10:48:30.663534,8,9,7.00
41,1379,2023-02-02 10:50:09.113637,1379,2023-02-02 10:50:09.113637,9,10,76.00
42,1379,2023-02-02 10:50:09.114788,1379,2023-02-02 10:50:09.114788,9,1,11.00
43,1379,2023-02-02 10:50:09.115798,1379,2023-02-02 10:50:09.115798,9,3,326.00
44,1379,2023-02-02 10:50:09.116806,1379,2023-02-02 10:50:09.116806,9,2,36.00
45,1379,2023-02-02 10:50:09.118207,1379,2023-02-02 10:50:09.118207,9,9,6.00
46,1527,2023-03-31 11:20:00.89615,1527,2023-03-31 11:20:00.89615,10,10,4720.00
47,1527,2023-03-31 11:20:00.89972,1527,2023-03-31 11:20:00.89972,10,1,66.00
48,1527,2023-03-31 11:20:00.904394,1527,2023-03-31 11:20:00.904394,10,3,637.78
49,1527,2023-03-31 11:20:00.907137,1527,2023-03-31 11:20:00.907137,10,2,114670.59
50,1545,2023-04-18 15:37:43.972131,1545,2023-04-18 15:37:43.972131,11,10,740.00
51,1545,2023-04-18 15:37:43.97645,1545,2023-04-18 15:37:43.97645,11,1,5.00
52,1545,2023-04-18 15:37:43.978203,1545,2023-04-18 15:37:43.978203,11,3,15.00
53,1545,2023-04-18 15:37:43.979448,1545,2023-04-18 15:37:43.979448,11,2,4080.00
54,1545,2023-04-18 15:37:43.981016,1545,2023-04-18 15:37:43.981016,11,5,972.00
55,1545,2023-04-18 15:37:43.982718,1545,2023-04-18 15:37:43.982718,11,6,150.00
56,1404,2023-05-04 10:36:24.54491,1404,2023-05-04 10:36:24.54491,12,10,908.00
57,1404,2023-05-04 10:36:24.54831,1404,2023-05-04 10:36:24.54831,12,1,34.00
58,1404,2023-05-04 10:36:24.551916,1404,2023-05-04 10:36:24.551916,12,3,28800.00
59,1404,2023-05-04 10:36:24.5543,1404,2023-05-04 10:36:24.5543,12,2,22400.00
60,1512,2023-05-17 16:44:52.747468,1512,2023-05-17 16:44:52.747468,13,10,17.00
61,1512,2023-05-17 16:44:52.749434,1512,2023-05-17 16:44:52.749434,13,1,7.00
